coin,snapshot height,balance
BTC(ALL),-,20914.70
BTC,951871,8683.53
BTC-TRC20,83191458,10422.90
jWBTC-TRC20,83191458,89.00
ThirdParty,_,1719.27
DOGE(All),-,454163535.64
DOGE,6229557,454163535.64
ETH(All),-,109573.31
ETH,25216406,4006.56
USDT-TRC20,THBF3NdL2qRJc19eDCrC5atW3Tdkcg4oMB,-,-,htx,0x3ca7a1fcc5306107b4bd37c82359ec2a1c62b32658bb01201f12bf5e9e1b5c54623f440d226165bf4d216cffe5a4e3fce9e636e7514eac5c29af97df12e88fd400
USDT-TRC20,TFTWNgDBkQ5wQoP8RXpRznnHvAVV8x5jLu,83191458,26954.00,King will be back!,0x0521aef6a23042aecda44a731cd89349b36d54b425881dc475ba37104a6b1e934497275d796aa03a8551eb23bcb51660b67314b8db1ee03ba45fb692b44426af1c
ERC20-aEthUSDT,0x4fb312915b779b1339388e14b6d079741ca83128,25216406,14303345.08,-,-
USDT-BEP20,0xafdfd157d9361e621e476036fee62f688450692b,101527929,4015169.70,-,-
USDT-BEP20,0xdd3cb5c974601bc3974d908ea4a86020f9999e0c,101527929,6168237.73,King will be back!,0xd073bd9a42e935972c048fe2a3b7acfbb5d107d5fc22562efc88834f4b8ff83c359ce34f8d0c3c847f8d1c10afdd9ea126df84bb6bd11df486c920f826f828d400
TRC20-U,TK86Qm97uM848dMk8G7xNbJB7zG1uW3h1n,83191458,20469173.03,-,-
BEP20-U,0xafdfd157d9361e621e476036fee62f688450692b,101527929,412000,-,-
ERC20-USDS,0x4fb312915b779b1339388e14b6d079741ca83128,25216406,537679.1,-,-
ETH,0xef72CC0Bb3EE2236b3B875C66a8A5D06b53Adb99,-,-,htx,0xc91377206d5903eff7c725d0ab54ed1a652110581e449c5ccc7f4f5bb991af80228ae4a95f448bb18a6ac78e850334daa495930b85375f3d6ab606ac0146d8b61b
ETH,0x406ea8F3C6464171f3dEccF6Ba99748D9487CD52,-,-,htx,0x3ba1542404430b5818a403ab451e4ee2299a0b9e8c2d71f178edf0e2c4df222a77ac3dd16011369cc395063da048e975620ddc6e511f762ad639640ca8d4fac31c
ETH,0x3f95d25BfB08e6cF5bA3e159e477D28852BA3F04,-,-,htx,0xc766bb36b671096e668bd902515eecef9939bcd99226bb668768f7d3a2cc5387339c98d0d8f21a3f3ec27024ccfeb5034d617a4d6021cab5538f061f198808d31b
ETH,0x9EC19cE75a7557d52c32774779158F5A466e0080,-,-,htx,0x0d929c70239b715b65f891088a5143e21449c36cab4243f71e5ce84317454c6605013fad579dc198c43798e2a9e7d575a9c39fc67689a2b4e38635e2e934ef661c
ERC20-USDD,0x18709e89bd403f470088abdacebe86cc60dda12e,25216406,44805205.20,huobi,0x68a79a40adfb16777e49206d60f9cd11de0fbaf3acad5be1e30dd955182475f43255dfec5fede4dc97fcf1fbce1583dd05ee419bf3939ca95919aff931eec41d01
TRC20-USDD,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,83191458,297692.00,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
TRC20-JUSDD,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,83191458,76466743.67,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
XRP,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,104607823,27987852.74,-,-
XRP,rPzT7GA6vWU3PvYSXBpdP5fQPnzwVLwL24,104607823,766000.99,-,-
WLFI,0x4fb312915b779b1339388e14b6d079741ca83128,25216406,10000000,-,-
WLFI,0x18709e89bd403f470088abdacebe86cc60dda12e,25216406,15156000.02,huobi,0x68a79a40adfb16777e49206d60f9cd11de0fbaf3acad5be1e30dd955182475f43255dfec5fede4dc97fcf1fbce1583dd05ee419bf3939ca95919aff931eec41d01
WLFI,0xa03400e098f4421b34a3a44a1b4e571419517687,25216406,684193.22,King will be back!,0xc24e6ba40bb68f98b4bfcf653e3557f7accde2c539937f2f865eda96c9d48688481d49e38bc31d0450d164eac66cb3c5e0bfd9e472684bfb3d9bc3ea3a3bc82a01
DOGE,DJX3kCZfcDuREturnUNKEBQELi1PFaLkJC,6229557,268855.80028187,-,-
DOGE,DL2EGukahtib57Sg7FtHsvf8HgwMJtbBA3,6229557,187180.2115,-,-
DOGE,DLzCvKskasu4Adj3XgbyNitKBukBSa5JPP,6229557,156897.95726011,-,-
DOGE,DRRU8L7fF4k9w7SF3Z6ei8onPCsh9hjGX1,6229557,369891003.489,-,-
DOGE,DHGb5BKsagXePRWwKqLx2vMH5uUNg8euvN,6229557,66066923.39372795,-,-
DOGE,DN4FUEu7L9PpcnMntidGXNvasjUEyWV77F,6229557,2866993.9984026,-,-
DOGE,DQ17R1yDcLRM7SdQf1ZDJDeGih89yic7Px,6229557,2647816.52635095,-,-
DOGE,D9wh6cJXG9wFA87svpHRHGBxFtYGJHC13h,6229557,1457329.62563352,-,-
DOGE,DJxVuu8KDh7qKfuieJoWQNFYmK1L3k773X,6229557,1066964.29654224,-,-
DOGE,DQkukxxY7LYdb2bchK8Zgo14wwyEPsHVJf,6229557,850746.71291594,-,-
DOGE,DM17LVDVnSUxaVncoYNWLjsSq5bYSWDwmy,6229557,579364.12614368,-,-
DOGE,DSqzssxy31fpuGFJfZjoM6TqP38oNPAPiN,6229557,538350.47626452,-,-
DOGE,DB5KWytcxHyphHPn9iC92Y9JqPRL1Fq21p,6229557,127419.4406821,-,-
DOGE,DRAtyHiqvTrCP4gXKNgrKHKqbRBgdQXQZq,6229557,104766.0303,-,-
DOGE,9yUrPPjPDo7gjTekQrKERmUgkGUkYTEhyQ,6229557,4535998.954,-,-
DOGE,A2fSFAHxxd9Je872CHrRHwErXEQXUb8n4Y,6229557,1054996.637,-,-
DOGE,9veYb4pMuyHL1FfcqGMPzjPZdeF4cTcVp1,6229557,1018930.2,-,-
DOGE,9u1QQv87QcaJrKxJH1bjnW2hAoXocKGykE,6229557,497999.439,-,-
DOGE,9vynXnkugSuN9MtCvgoPbZcysifxwWxVWq,6229557,244998.32,-,-
